,emb_id,data_type,CLIP_PCA_x,CLIP_PCA_y,CLIP_UMAP_x,CLIP_UMAP_y,CLIP_TSNE_x,CLIP_TSNE_y,CLIP_nogap_PCA_x,CLIP_nogap_PCA_y,CLIP_nogap_UMAP_x,CLIP_nogap_UMAP_y,CLIP_nogap_TSNE_x,CLIP_nogap_TSNE_y,CyCLIP_PCA_x,CyCLIP_PCA_y,CyCLIP_UMAP_x,CyCLIP_UMAP_y,CyCLIP_TSNE_x,CyCLIP_TSNE_y,CyCLIP_nogap_PCA_x,CyCLIP_nogap_PCA_y,CyCLIP_nogap_UMAP_x,CyCLIP_nogap_UMAP_y,CyCLIP_nogap_TSNE_x,CyCLIP_nogap_TSNE_y,CLOOB_PCA_x,CLOOB_PCA_y,CLOOB_UMAP_x,CLOOB_UMAP_y,CLOOB_TSNE_x,CLOOB_TSNE_y,CLOOB_nogap_PCA_x,CLOOB_nogap_PCA_y,CLOOB_nogap_UMAP_x,CLOOB_nogap_UMAP_y,CLOOB_nogap_TSNE_x,CLOOB_nogap_TSNE_y,CLOOB_LAION400M_PCA_x,CLOOB_LAION400M_PCA_y,CLOOB_LAION400M_UMAP_x,CLOOB_LAION400M_UMAP_y,CLOOB_LAION400M_TSNE_x,CLOOB_LAION400M_TSNE_y,CLOOB_LAION400M_nogap_PCA_x,CLOOB_LAION400M_nogap_PCA_y,CLOOB_LAION400M_nogap_UMAP_x,CLOOB_LAION400M_nogap_UMAP_y,CLOOB_LAION400M_nogap_TSNE_x,CLOOB_LAION400M_nogap_TSNE_y
67,67,image,0.6439898,0.19528817,8.101802,-4.2466736,12.449293472413272,1.4008111808373005,0.24984036,0.34001455,11.288504,-1.51334,0.7485376477082847,3.4168632283481495,0.5233369,0.12524736,23.099733,5.765531,12.06375796716641,0.01565815930792614,0.14665969,-0.090033814,0.9600033,0.8482633,-4.441183388399043,0.033068298578642144,0.727993,0.12997977,19.247707,1.7972891,12.284870829593379,-0.6157953925352595,0.22623876,-0.4105577,18.079624,-6.486455,-0.5746645026825594,4.214695809736148,0.6915307,0.10040408,-3.118009,10.954189,12.326814918211056,0.35115883761783084,0.2249496,0.44805565,5.1803102,8.318523,4.161885265597512,0.09642954342727017
68,68,image,0.66009367,0.18364386,7.8537083,-4.1677256,12.42726736986107,1.2381750018895583,0.23656705,0.3347865,11.066738,-1.6554765,0.5634973185662213,3.2100628011283083,0.52587074,0.14770104,23.131746,5.7969317,12.14575970684881,0.2359732739955405,0.17238052,-0.09952128,0.9529274,0.8645492,-4.449528305058568,0.03696069198066933,0.6864772,0.21070962,19.050331,1.4461015,12.422706014643872,-0.40192259300386846,0.30316213,-0.36636162,17.804995,-6.6361303,-0.23975295461094853,4.391079637606342,0.7240894,0.19599617,-3.2115963,10.969962,12.368263477278544,0.3956423262866668,0.336157,0.57045436,5.259667,8.38169,4.3019861179902446,0.19574717100331995
69,69,image,0.6603725,0.15108037,7.6580095,-3.9215624,12.421962342230657,1.2031388960350804,0.1982286,0.32190776,11.128311,-1.678218,0.5404977364746573,3.2058964388598112,0.51762927,0.24353759,27.060833,5.333211,13.435556812296277,3.6958243090828082,0.28102767,-0.027253415,13.435098,19.569473,18.96910340405487,2.1862023340303645,0.7402287,0.17244418,18.967113,1.5824763,12.397938201551623,-0.44063504808533227,0.28270692,-0.38107407,18.099005,-6.705566,-0.3203428871602989,4.345245866231337,0.67500836,0.33503476,-3.3407218,11.19527,12.48922046691497,0.5271334183582127,0.46941677,0.51025116,5.4431205,8.592943,4.584444985463788,0.15610542670115923
70,70,image,0.66220313,0.1521965,7.652312,-3.819452,12.402080124990635,1.0558323312862958,0.198091,0.37737137,10.856975,-1.4733561,0.36333935293256386,3.110047867404589,0.52672887,0.061128583,22.986946,5.848471,11.823482475258023,-0.6206079034347649,0.07270175,-0.14900687,0.83213013,1.0791541,-5.193537024782426,0.15365989396972776,0.7318892,0.2458731,19.133846,1.5283126,12.429225028038907,-0.3915281263562514,0.35721245,-0.41529652,17.94099,-6.624675,-0.25610751549925304,4.3871970801806945,0.6910177,0.24973747,-3.2955365,11.130033,12.392446613963873,0.42195656439917234,0.38374037,0.56493217,5.3345695,8.677642,4.4305815743184125,0.18419403589965727
71,71,image,0.6641826,0.2013149,7.910749,-3.9384155,12.440680255451312,1.3330775850759822,0.25787017,0.35213268,11.030706,-1.5141093,0.620367252129005,3.3155994548820216,0.5136927,0.25741482,26.990707,5.3241153,13.447864660591653,3.7251973063944295,0.2961294,-0.016500166,13.402136,19.593822,18.984516510810018,2.1862591500136253,0.72940487,0.26716813,18.630836,1.2366145,12.647980973028465,-0.052652864375647306,0.3911565,-0.30806205,17.983942,-7.2494736,0.37417673286736614,4.694413273274105,0.7050866,0.3448044,-3.4372509,11.121358,12.526388232767946,0.5677807975681844,0.48806995,0.5221378,5.3647094,8.810246,4.658410831293697,0.11190086947798937
72,72,image,0.6474003,0.24006446,8.01532,-4.2031126,12.464518238722816,1.5114725197170955,0.30416915,0.30163264,11.2425375,-1.5704094,0.8101820840172452,3.486376990036034,0.5115837,0.26952785,27.060762,5.473741,13.50389943274177,3.874407716267112,0.3098676,0.014802687,13.280063,19.687426,19.15633215174369,2.2055673052681426,0.72681993,0.29198524,18.94141,1.4079267,12.522354322443654,-0.24786550195187515,0.4098824,-0.37014034,17.974237,-6.800842,-0.04916753875995487,4.487542457323659,0.7168506,0.2650306,-3.4881244,11.337859,12.568201176989309,0.6129943778912886,0.4108895,0.47204167,5.5117083,8.973369,4.791079633113417,0.06297163410269971
73,73,image,0.6602323,0.33670333,8.843021,-4.4099503,12.533778911862544,2.0243386807549113,0.42367914,0.19174781,11.785596,-1.196833,1.449350824438335,4.173987232553561,0.50577044,0.3072751,27.37827,5.439933,13.559388584975325,4.0042618443093305,0.35104653,0.024309788,13.321368,19.718292,19.305705196711152,2.218220380204885,0.66455466,0.3099448,18.240152,1.0125879,12.824950449721953,0.22369752782806168,0.41068384,-0.24024469,18.069036,-7.567744,0.7579882869517484,4.883372763088706,0.7062446,0.36250484,-3.4163244,11.28708,12.5721940030458,0.6182443065753132,0.5094214,0.5237721,5.4887967,8.809036,4.779904990804435,0.08847719479845392
74,74,image,0.6603611,0.33780193,8.948097,-4.1976786,12.526858076990765,1.9675934591384716,0.4243903,0.24064367,11.673239,-1.3079019,1.3818971736209487,4.110019094534939,0.510093,0.30343905,27.168423,5.3971834,13.552410230459518,3.9865320431045626,0.3477742,0.02077162,13.343187,19.718918,19.31051570806971,2.2182720354183543,0.6877647,0.39402887,18.190662,0.9612339,13.102221454837082,0.6558847619855208,0.5205267,-0.12109454,18.015097,-7.8101945,1.1175337689674978,5.084716684889901,0.69234455,0.41979223,-3.709975,11.747533,12.815030051690606,0.8816187857485175,0.56901145,0.3462631,5.6660776,9.250547,5.314102984475609,-0.04636474263140799
75,75,image,0.65722966,0.32454357,8.77821,-4.217329,12.524355937874677,1.948357612470993,0.40831602,0.22054441,11.689999,-1.2937539,1.357552988754292,4.0788282350054015,0.5090949,0.313076,27.458637,5.381844,13.565119343080664,4.018002882295819,0.3584426,0.028232036,13.094594,19.910727,19.331856157496695,2.2223211236532654,0.73727614,0.37568665,18.316416,1.0367556,12.891910681059112,0.3338361775275775,0.52065194,-0.23092815,17.981632,-7.5805297,0.7514241266863022,4.889708872584989,0.7451963,0.41890132,-3.5336177,11.550751,12.768109728844879,0.8302251106561208,0.58824104,0.406834,5.6425686,9.131181,5.121070943652291,-0.0016124822193829664
76,76,image,0.66439974,0.27572578,8.425545,-4.0543637,12.489569274048165,1.6858277537173023,0.3490216,0.29031074,11.417163,-1.3585442,1.0418315013498824,3.736587985669102,0.5095376,0.31717372,27.319223,5.2825327,13.560076553875032,4.004869441795222,0.36297414,0.017422406,13.221869,19.806702,19.3255496484352,2.219805668547601,0.6789987,0.40518793,18.304213,1.0356139,12.964339039450088,0.44048043887948324,0.5223544,-0.18947434,17.993538,-7.657141,0.8733163069252032,4.953471119515343,0.7075805,0.42862618,-3.5492065,11.554005,12.769606157480904,0.831569969629793,0.58159024,0.39368623,5.738857,9.120575,5.12929965744046,-0.0033208752720132557
