,emb_id,data_type,CLOOME_CLIP_PCA_x,CLOOME_CLIP_PCA_y,CLOOME_CLIP_UMAP_x,CLOOME_CLIP_UMAP_y,CLOOME_CLIP_TSNE_x,CLOOME_CLIP_TSNE_y,CLOOME_CLIP_nogap_PCA_x,CLOOME_CLIP_nogap_PCA_y,CLOOME_CLIP_nogap_UMAP_x,CLOOME_CLIP_nogap_UMAP_y,CLOOME_CLIP_nogap_TSNE_x,CLOOME_CLIP_nogap_TSNE_y,CLOOME_CLOOB_PCA_x,CLOOME_CLOOB_PCA_y,CLOOME_CLOOB_UMAP_x,CLOOME_CLOOB_UMAP_y,CLOOME_CLOOB_TSNE_x,CLOOME_CLOOB_TSNE_y,CLOOME_CLOOB_nogap_PCA_x,CLOOME_CLOOB_nogap_PCA_y,CLOOME_CLOOB_nogap_UMAP_x,CLOOME_CLOOB_nogap_UMAP_y,CLOOME_CLOOB_nogap_TSNE_x,CLOOME_CLOOB_nogap_TSNE_y
0,0,image,0.5011905648124874,-0.03549781327761097,12.637838,4.752427,-8.127609908208246,0.7465965860740964,0.4556337725636445,0.1255753989509601,10.786679,2.6250384,7.035998327951528,1.036649483421588,-0.25568434672737056,-0.09872669782126464,0.6599973,3.7718196,5.1964030231784495,13.88162616571315,-0.1540292159963797,-0.19629910098190978,-1.2850331,13.819538,5.3111071553662725,6.149258256048608
1,1,image,-0.2402488164707762,0.2503718358813708,16.307297,2.2377045,9.391682546488159,-6.927517771551963,-0.3356860256377582,-0.2873415816029289,13.185398,0.05605023,0.8400485047588372,5.937444265608104,-0.3057475144377236,0.248368055535487,-0.2768546,4.236225,-4.066863895470405,-10.25759529630632,-0.21627286396253742,0.20332004887777688,-0.14164342,12.3634,-11.164723466773903,-5.930893811865252
2,2,image,-0.024352049391057336,0.1275221674113301,16.36445,1.9971994,10.820941900685048,-6.600169293328919,-0.09238059448624136,-0.1161183522060878,13.666026,0.0004860327,2.6120524431990524,5.507837950904762,-0.1618345918197452,0.12367060706326491,-0.32691526,4.698463,6.106130100091412,-8.672007538558425,-0.031089210131639792,0.14939187662361755,-1.7529658,11.241517,-4.091996482853364,10.189177210415865
3,3,image,-0.09611309078059734,0.12831952057302562,15.722778,3.4517906,4.085501919852018,-9.890566231121962,-0.14910532515292366,-0.40872821309542323,13.762178,1.8659431,0.5081059965843491,10.728581044410797,-0.23003259997982572,0.014500362324543345,-0.33097187,2.1239512,-11.763737732836011,3.6329674466125517,-0.08298550815949216,0.037917896762094214,-2.0542746,10.252727,6.147400355171461,-13.745667882269492
4,4,image,0.6993699246568164,0.027365631525293414,10.462944,2.2615345,-10.597998832118316,-1.3944167077626508,0.6378791147800699,0.13238573508989568,8.742795,3.1237955,0.25050020862182576,-13.079722960719007,-0.1338520898522565,0.008518873390141958,0.83916885,1.4349358,11.932302536064821,-7.807173922410907,-0.02472180483156994,-0.023376216191530987,-2.0776603,14.66776,2.35085797123759,13.138994838579432
5,5,image,0.45763692000175216,0.056389165990816746,10.174202,1.8257393,-13.469299332548744,0.5363344389489061,0.3964306414544496,0.0009102630350284314,8.511951,2.500472,-3.6645367062680063,-13.925096675470304,-0.22754291165316917,-0.02914304661905974,0.93393004,2.11415,10.104320105666421,-11.085826520633034,-0.1068995255945276,-0.04410145217239609,-2.3675785,13.375775,6.577352520968179,13.103436972979067
6,6,image,-0.11134881891155805,0.2001292848307651,13.797907,5.1534977,5.879224985793024,6.661797355141683,-0.18848261630562235,-0.0555722398055106,12.048997,4.0054164,10.403477102080181,-2.341165660123513,-0.07062232551983588,0.05973082793317151,-1.1326658,4.2516403,-6.821628565718089,-5.232665931566313,0.022881792002464204,0.0660605430786299,-1.0986817,12.29368,-14.30855906177141,-2.638511977931005
7,7,image,-0.07174568866382394,0.5957111105031117,12.338795,1.8576604,-1.7461100580680897,10.588663032529626,-0.2535208444227297,0.5268004670366973,11.177712,0.6103857,-5.140152153295451,0.8711372109386356,-0.08635946491595678,-0.270286675962522,-2.537559,2.2414296,14.073684011539127,1.2324326738003084,0.19121985080548373,-0.2003740363090769,-4.2197075,12.000891,0.5593973029349569,10.000448528909063
8,8,image,0.34517101916341514,0.03251944742977066,13.877111,5.3274164,7.150510782736059,8.28711608804645,0.2859576133460512,-0.12705903208847258,12.309671,4.190153,9.652300360052473,0.04907088886379737,-0.14712237626479807,0.11423602064035804,-0.81234604,1.7183634,9.834925135447058,9.798572824763339,-0.0508244533013635,0.08992618991535782,-1.6576251,13.189924,-1.941862556678383,-9.5511122032364
9,9,image,-0.14387117808309596,0.44135314217062277,12.82821,0.7880689,-2.846084059618615,6.276375686951444,-0.26893470008935794,0.2771988872681181,10.234249,0.6117648,-8.00647803980777,-2.837865763189989,-0.10304002494142064,0.19544435241106517,-1.2837219,1.6701752,6.061280208571275,-4.184621072825808,-0.0802089246774184,0.15719393835177498,-3.8127832,11.348435,-10.178385658667485,6.4944848672118916
10,10,image,-0.21604982022987745,0.3314066478530312,12.484347,2.562453,10.175890638205399,3.1550955125449454,-0.32397522909389803,0.027515520472815077,11.794404,1.1240357,-1.079577430159966,1.5021320332467667,-0.13173173523122736,-0.17831166734595966,-1.88572,1.8565544,11.411370674654576,2.4029834598216997,0.12719784058016548,-0.11830627576188067,-4.2666354,11.794088,5.746588531825144,-1.3514574001271744
11,11,image,-0.10793086092014684,0.35122055850654127,13.953226,5.309563,6.450233609858894,7.112773262891013,-0.22764639980677598,0.04458415866506721,12.14397,4.1703634,10.594414868559168,-1.5976116948422405,-0.09585933017968759,-0.0597958408147006,-3.0236466,4.0378923,1.9414325275634956,-5.0813284601083994,0.07292747848764546,-0.001351212106681788,-2.1616051,11.1621065,-5.474925146942219,-8.416217250736972
12,12,image,0.03495563340675688,0.03570126093748862,12.864073,2.4891784,8.849111133483456,4.354529362144104,-0.0038004918879370572,-0.13584006050674277,12.817898,2.3848133,-5.624167141245367,5.069534194843455,-0.03540638254692579,0.1696697761622358,-2.0029464,4.4927273,-8.957859521515259,0.5255290140405144,0.06149385632954996,0.20511591952409994,-0.9847902,10.999873,-6.3069251113339835,1.4709260291657542
13,13,image,0.03408390588587616,0.09280761968911828,13.521822,4.656672,4.292529416920369,5.601260707087655,-0.017626510206212517,0.13976099571022987,11.724843,3.491897,8.65809191774176,-3.8633456256760987,-0.17379995507312265,-0.14502121406190935,-0.3806867,3.2430768,8.711037148083804,-2.19153473689568,-0.021695692028166947,-0.17835481337344217,-2.6047428,12.461062,1.3299008786214621,6.680987351801123
14,14,image,-0.2751529729112728,0.16948828952011902,16.208147,2.192022,9.598882989393424,-7.733429470004168,-0.33241366199814054,-0.27012015039734794,13.664433,0.40702686,1.4847967080017626,7.14297569726281,-0.0240253314244371,0.00727055020469142,-1.350144,4.3147955,-6.229984544180591,-2.5370088741531327,0.08358000370100604,0.06244473255231805,-0.7298064,10.941646,-8.406728382806257,-0.6285489107199226
15,15,image,0.04280147915258311,0.12580447631348696,12.502629,2.5349796,11.12798409549198,3.525821392250341,-0.021147726318660062,0.0985953886324069,11.627545,1.5948768,-0.2037433398537467,0.514632147989512,-0.13477907978238873,-0.1625086029442009,-1.2015339,2.1565588,7.673021029789694,5.236581302906487,0.037729201722984475,-0.1630434270703975,-3.8171372,12.64578,5.678020221987144,-5.628438709845337
16,16,image,-0.15747324002084376,0.24850983136882254,15.751979,3.408266,4.120241143548843,-9.692572509189302,-0.2388017636618655,-0.37558548508186496,13.561352,1.8840964,-0.058815908803157055,10.725207477714944,-0.1660163771919747,0.021613487922536537,-0.44267955,1.9615052,-12.219408866839522,4.316156134770607,0.051979104337785034,0.14882167743988503,-2.294251,10.036951,5.269462385256757,-13.426672585537366
17,17,image,-0.08458057867489283,0.21090974762063436,12.6162195,2.6695797,10.323096189387254,2.571122894155084,-0.16901654041844769,-0.01262016388597651,11.700212,1.3416024,-0.19954020729452726,1.5878678615538466,-0.14619924196592668,-0.07865628751182174,-1.451158,2.1175232,8.763779526281883,3.6918848830052897,-0.025885959057373568,-0.1057706700333747,-3.7928958,12.651822,7.378620926665232,-6.28596908257271
18,18,image,0.026632143756888483,0.37983743304716017,13.144941,1.6158717,-1.2081733373213495,5.682281818139008,-0.09533335903145776,0.2681416372803472,10.707717,0.21524163,-4.564948656693616,-2.079544407547311,-0.09868335909702117,-0.05714910226207661,-1.9805788,1.4300973,-11.693129229681496,-0.4079634461907946,0.12511639516449483,0.03393518349043559,-4.1690016,11.001105,3.647408555651631,1.793720688141622
19,19,image,-0.11064961371501611,0.3569185414434584,14.752865,0.23234393,1.1454859631766379,-13.735936616152848,-0.20888665254473152,0.17273530493899092,12.367613,-0.57938236,-2.887281305724056,15.16112726757735,-0.1278854679291517,0.0565606256796773,-0.9981039,3.8641346,-10.07985321486186,-6.6348887957338505,0.016111100399846992,0.08233926347314029,-0.19334988,11.533438,-4.117710741297727,-12.554400712676703
20,20,image,-0.0832101170584986,0.3035149224387905,16.094063,3.6848574,5.980524594582417,-8.955699270308417,-0.18523855671864092,-0.17091078806274415,14.2099695,1.1481905,3.7649214411877456,9.355298460099313,-0.14485450481717677,-0.08783548102379148,-0.45582768,1.4396225,-12.443179384524948,4.604151509249938,0.0699804966548773,0.012467760032890133,-2.4191244,10.199787,4.904294382312566,-13.266521648038445
